PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3rd Class,Male,22.0,1,0,7.25,Southampton
2,1,1st Class,Female,38.0,1,0,71.2833,Cherbourg
3,1,3rd Class,Female,26.0,0,0,7.925,Southampton
4,1,1st Class,Female,35.0,1,0,53.1,Southampton
5,0,3rd Class,Male,35.0,0,0,8.05,Southampton
6,0,3rd Class,Male,24.0,0,0,8.4583,Queenstown
7,0,1st Class,Male,54.0,0,0,51.8625,Southampton
8,0,3rd Class,Male,2.0,3,1,21.075,Southampton
9,1,3rd Class,Female,27.0,0,2,11.1333,Southampton
10,1,2nd Class,Female,14.0,1,0,30.0708,Cherbourg
11,1,3rd Class,Female,4.0,1,1,16.7,Southampton
12,1,1st Class,Female,58.0,0,0,26.55,Southampton
13,0,3rd Class,Male,20.0,0,0,8.05,Southampton
14,0,3rd Class,Male,39.0,1,5,31.275,Southampton
15,0,3rd Class,Female,14.0,0,0,7.8542,Southampton
16,1,2nd Class,Female,55.0,0,0,16.0,Southampton
17,0,3rd Class,Male,2.0,4,1,29.125,Queenstown
18,1,2nd Class,Male,24.0,0,0,13.0,Southampton
19,0,3rd Class,Female,31.0,1,0,18.0,Southampton
20,1,3rd Class,Female,24.0,0,0,7.225,Cherbourg
21,0,2nd Class,Male,35.0,0,0,26.0,Southampton
22,1,2nd Class,Male,34.0,0,0,13.0,Southampton
23,1,3rd Class,Female,15.0,0,0,8.0292,Queenstown
24,1,1st Class,Male,28.0,0,0,35.5,Southampton
25,0,3rd Class,Female,8.0,3,1,21.075,Southampton
26,1,3rd Class,Female,38.0,1,5,31.3875,Southampton
27,0,3rd Class,Male,24.0,0,0,7.225,Cherbourg
28,0,1st Class,Male,19.0,3,2,263.0,Southampton
29,1,3rd Class,Female,24.0,0,0,7.8792,Queenstown
30,0,3rd Class,Male,24.0,0,0,7.8958,Southampton
31,0,1st Class,Male,40.0,0,0,27.7208,Cherbourg
32,1,1st Class,Female,24.0,1,0,146.5208,Cherbourg
33,1,3rd Class,Female,24.0,0,0,7.75,Queenstown
34,0,2nd Class,Male,66.0,0,0,10.5,Southampton
35,0,1st Class,Male,28.0,1,0,82.1708,Cherbourg
36,0,1st Class,Male,42.0,1,0,52.0,Southampton
37,1,3rd Class,Male,24.0,0,0,7.2292,Cherbourg
38,0,3rd Class,Male,21.0,0,0,8.05,Southampton
39,0,3rd Class,Female,18.0,2,0,18.0,Southampton
40,1,3rd Class,Female,14.0,1,0,11.2417,Cherbourg
41,0,3rd Class,Female,40.0,1,0,9.475,Southampton
42,0,2nd Class,Female,27.0,1,0,21.0,Southampton
43,0,3rd Class,Male,24.0,0,0,7.8958,Cherbourg
44,1,2nd Class,Female,3.0,1,2,41.5792,Cherbourg
45,1,3rd Class,Female,19.0,0,0,7.8792,Queenstown
46,0,3rd Class,Male,24.0,0,0,8.05,Southampton
47,0,3rd Class,Male,24.0,1,0,15.5,Queenstown
48,1,3rd Class,Female,24.0,0,0,7.75,Queenstown
49,0,3rd Class,Male,24.0,2,0,21.6792,Cherbourg
50,0,3rd Class,Female,18.0,1,0,17.8,Southampton
51,0,3rd Class,Male,7.0,4,1,39.6875,Southampton
52,0,3rd Class,Male,21.0,0,0,7.8,Southampton
53,1,1st Class,Female,49.0,1,0,76.7292,Cherbourg
54,1,2nd Class,Female,29.0,1,0,26.0,Southampton
55,0,1st Class,Male,65.0,0,1,61.9792,Cherbourg
56,1,1st Class,Male,24.0,0,0,35.5,Southampton
57,1,2nd Class,Female,21.0,0,0,10.5,Southampton
58,0,3rd Class,Male,28.5,0,0,7.2292,Cherbourg
59,1,2nd Class,Female,5.0,1,2,27.75,Southampton
60,0,3rd Class,Male,11.0,5,2,46.9,Southampton
61,0,3rd Class,Male,22.0,0,0,7.2292,Cherbourg
62,1,1st Class,Female,38.0,0,0,80.0,Southampton
63,0,1st Class,Male,45.0,1,0,83.475,Southampton
64,0,3rd Class,Male,4.0,3,2,27.9,Southampton
65,0,1st Class,Male,24.0,0,0,27.7208,Cherbourg
66,1,3rd Class,Male,24.0,1,1,15.2458,Cherbourg
67,1,2nd Class,Female,29.0,0,0,10.5,Southampton
68,0,3rd Class,Male,19.0,0,0,8.1583,Southampton
69,1,3rd Class,Female,17.0,4,2,7.925,Southampton
70,0,3rd Class,Male,26.0,2,0,8.6625,Southampton
71,0,2nd Class,Male,32.0,0,0,10.5,Southampton
72,0,3rd Class,Female,16.0,5,2,46.9,Southampton
73,0,2nd Class,Male,21.0,0,0,73.5,Southampton
74,0,3rd Class,Male,26.0,1,0,14.4542,Cherbourg
75,1,3rd Class,Male,32.0,0,0,56.4958,Southampton
76,0,3rd Class,Male,25.0,0,0,7.65,Southampton
77,0,3rd Class,Male,24.0,0,0,7.8958,Southampton
78,0,3rd Class,Male,24.0,0,0,8.05,Southampton
79,1,2nd Class,Male,0.83,0,2,29.0,Southampton
80,1,3rd Class,Female,30.0,0,0,12.475,Southampton
81,0,3rd Class,Male,22.0,0,0,9.0,Southampton
82,1,3rd Class,Male,29.0,0,0,9.5,Southampton
83,1,3rd Class,Female,24.0,0,0,7.7875,Queenstown
84,0,1st Class,Male,28.0,0,0,47.1,Southampton
85,1,2nd Class,Female,17.0,0,0,10.5,Southampton
86,1,3rd Class,Female,33.0,3,0,15.85,Southampton
87,0,3rd Class,Male,16.0,1,3,34.375,Southampton
88,0,3rd Class,Male,24.0,0,0,8.05,Southampton
89,1,1st Class,Female,23.0,3,2,263.0,Southampton
90,0,3rd Class,Male,24.0,0,0,8.05,Southampton
91,0,3rd Class,Male,29.0,0,0,8.05,Southampton
92,0,3rd Class,Male,20.0,0,0,7.8542,Southampton
93,0,1st Class,Male,46.0,1,0,61.175,Southampton
94,0,3rd Class,Male,26.0,1,2,20.575,Southampton
95,0,3rd Class,Male,59.0,0,0,7.25,Southampton
96,0,3rd Class,Male,24.0,0,0,8.05,Southampton
97,0,1st Class,Male,71.0,0,0,34.6542,Cherbourg
98,1,1st Class,Male,23.0,0,1,63.3583,Cherbourg
99,1,2nd Class,Female,34.0,0,1,23.0,Southampton
100,0,2nd Class,Male,34.0,1,0,26.0,Southampton
101,0,3rd Class,Female,28.0,0,0,7.8958,Southampton
102,0,3rd Class,Male,24.0,0,0,7.8958,Southampton
103,0,1st Class,Male,21.0,0,1,77.2875,Southampton
104,0,3rd Class,Male,33.0,0,0,8.6542,Southampton
105,0,3rd Class,Male,37.0,2,0,7.925,Southampton
106,0,3rd Class,Male,28.0,0,0,7.8958,Southampton
107,1,3rd Class,Female,21.0,0,0,7.65,Southampton
108,1,3rd Class,Male,24.0,0,0,7.775,Southampton
109,0,3rd Class,Male,38.0,0,0,7.8958,Southampton
110,1,3rd Class,Female,24.0,1,0,24.15,Queenstown
111,0,1st Class,Male,47.0,0,0,52.0,Southampton
112,0,3rd Class,Female,14.5,1,0,14.4542,Cherbourg
113,0,3rd Class,Male,22.0,0,0,8.05,Southampton
114,0,3rd Class,Female,20.0,1,0,9.825,Southampton
115,0,3rd Class,Female,17.0,0,0,14.4583,Cherbourg
116,0,3rd Class,Male,21.0,0,0,7.925,Southampton
117,0,3rd Class,Male,70.5,0,0,7.75,Queenstown
118,0,2nd Class,Male,29.0,1,0,21.0,Southampton
119,0,1st Class,Male,24.0,0,1,247.5208,Cherbourg
120,0,3rd Class,Female,2.0,4,2,31.275,Southampton
121,0,2nd Class,Male,21.0,2,0,73.5,Southampton
122,0,3rd Class,Male,24.0,0,0,8.05,Southampton
123,0,2nd Class,Male,32.5,1,0,30.0708,Cherbourg
124,1,2nd Class,Female,32.5,0,0,13.0,Southampton
125,0,1st Class,Male,54.0,0,1,77.2875,Southampton
126,1,3rd Class,Male,12.0,1,0,11.2417,Cherbourg
127,0,3rd Class,Male,24.0,0,0,7.75,Queenstown
128,1,3rd Class,Male,24.0,0,0,7.1417,Southampton
129,1,3rd Class,Female,24.0,1,1,22.3583,Cherbourg
130,0,3rd Class,Male,45.0,0,0,6.975,Southampton
131,0,3rd Class,Male,33.0,0,0,7.8958,Cherbourg
132,0,3rd Class,Male,20.0,0,0,7.05,Southampton
133,0,3rd Class,Female,47.0,1,0,14.5,Southampton
134,1,2nd Class,Female,29.0,1,0,26.0,Southampton
135,0,2nd Class,Male,25.0,0,0,13.0,Southampton
136,0,2nd Class,Male,23.0,0,0,15.0458,Cherbourg
137,1,1st Class,Female,19.0,0,2,26.2833,Southampton
138,0,1st Class,Male,37.0,1,0,53.1,Southampton
139,0,3rd Class,Male,16.0,0,0,9.2167,Southampton
140,0,1st Class,Male,24.0,0,0,79.2,Cherbourg
141,0,3rd Class,Female,24.0,0,2,15.2458,Cherbourg
142,1,3rd Class,Female,22.0,0,0,7.75,Southampton
143,1,3rd Class,Female,24.0,1,0,15.85,Southampton
144,0,3rd Class,Male,19.0,0,0,6.75,Queenstown
145,0,2nd Class,Male,18.0,0,0,11.5,Southampton
146,0,2nd Class,Male,19.0,1,1,36.75,Southampton
147,1,3rd Class,Male,27.0,0,0,7.7958,Southampton
148,0,3rd Class,Female,9.0,2,2,34.375,Southampton
149,0,2nd Class,Male,36.5,0,2,26.0,Southampton
150,0,2nd Class,Male,42.0,0,0,13.0,Southampton
151,0,2nd Class,Male,51.0,0,0,12.525,Southampton
152,1,1st Class,Female,22.0,1,0,66.6,Southampton
153,0,3rd Class,Male,55.5,0,0,8.05,Southampton
154,0,3rd Class,Male,40.5,0,2,14.5,Southampton
155,0,3rd Class,Male,24.0,0,0,7.3125,Southampton
156,0,1st Class,Male,51.0,0,1,61.3792,Cherbourg
157,1,3rd Class,Female,16.0,0,0,7.7333,Queenstown
158,0,3rd Class,Male,30.0,0,0,8.05,Southampton
159,0,3rd Class,Male,24.0,0,0,8.6625,Southampton
160,0,3rd Class,Male,24.0,8,2,69.55,Southampton
161,0,3rd Class,Male,44.0,0,1,16.1,Southampton
162,1,2nd Class,Female,40.0,0,0,15.75,Southampton
163,0,3rd Class,Male,26.0,0,0,7.775,Southampton
164,0,3rd Class,Male,17.0,0,0,8.6625,Southampton
165,0,3rd Class,Male,1.0,4,1,39.6875,Southampton
166,1,3rd Class,Male,9.0,0,2,20.525,Southampton
167,1,1st Class,Female,24.0,0,1,55.0,Southampton
168,0,3rd Class,Female,45.0,1,4,27.9,Southampton
169,0,1st Class,Male,24.0,0,0,25.925,Southampton
170,0,3rd Class,Male,28.0,0,0,56.4958,Southampton
171,0,1st Class,Male,61.0,0,0,33.5,Southampton
172,0,3rd Class,Male,4.0,4,1,29.125,Queenstown
173,1,3rd Class,Female,1.0,1,1,11.1333,Southampton
174,0,3rd Class,Male,21.0,0,0,7.925,Southampton
175,0,1st Class,Male,56.0,0,0,30.6958,Cherbourg
176,0,3rd Class,Male,18.0,1,1,7.8542,Southampton
177,0,3rd Class,Male,24.0,3,1,25.4667,Southampton
178,0,1st Class,Female,50.0,0,0,28.7125,Cherbourg
179,0,2nd Class,Male,30.0,0,0,13.0,Southampton
180,0,3rd Class,Male,36.0,0,0,0.0,Southampton
181,0,3rd Class,Female,24.0,8,2,69.55,Southampton
182,0,2nd Class,Male,24.0,0,0,15.05,Cherbourg
183,0,3rd Class,Male,9.0,4,2,31.3875,Southampton
184,1,2nd Class,Male,1.0,2,1,39.0,Southampton
185,1,3rd Class,Female,4.0,0,2,22.025,Southampton
186,0,1st Class,Male,24.0,0,0,50.0,Southampton
187,1,3rd Class,Female,24.0,1,0,15.5,Queenstown
188,1,1st Class,Male,45.0,0,0,26.55,Southampton
189,0,3rd Class,Male,40.0,1,1,15.5,Queenstown
190,0,3rd Class,Male,36.0,0,0,7.8958,Southampton
191,1,2nd Class,Female,32.0,0,0,13.0,Southampton
192,0,2nd Class,Male,19.0,0,0,13.0,Southampton
193,1,3rd Class,Female,19.0,1,0,7.8542,Southampton
194,1,2nd Class,Male,3.0,1,1,26.0,Southampton
195,1,1st Class,Female,44.0,0,0,27.7208,Cherbourg
196,1,1st Class,Female,58.0,0,0,146.5208,Cherbourg
197,0,3rd Class,Male,24.0,0,0,7.75,Queenstown
198,0,3rd Class,Male,42.0,0,1,8.4042,Southampton
199,1,3rd Class,Female,24.0,0,0,7.75,Queenstown
200,0,2nd Class,Female,24.0,0,0,13.0,Southampton
201,0,3rd Class,Male,28.0,0,0,9.5,Southampton
202,0,3rd Class,Male,24.0,8,2,69.55,Southampton
203,0,3rd Class,Male,34.0,0,0,6.4958,Southampton
204,0,3rd Class,Male,45.5,0,0,7.225,Cherbourg
205,1,3rd Class,Male,18.0,0,0,8.05,Southampton
206,0,3rd Class,Female,2.0,0,1,10.4625,Southampton
207,0,3rd Class,Male,32.0,1,0,15.85,Southampton
208,1,3rd Class,Male,26.0,0,0,18.7875,Cherbourg
209,1,3rd Class,Female,16.0,0,0,7.75,Queenstown
210,1,1st Class,Male,40.0,0,0,31.0,Cherbourg
211,0,3rd Class,Male,24.0,0,0,7.05,Southampton
212,1,2nd Class,Female,35.0,0,0,21.0,Southampton
213,0,3rd Class,Male,22.0,0,0,7.25,Southampton
214,0,2nd Class,Male,30.0,0,0,13.0,Southampton
215,0,3rd Class,Male,24.0,1,0,7.75,Queenstown
216,1,1st Class,Female,31.0,1,0,113.275,Cherbourg
217,1,3rd Class,Female,27.0,0,0,7.925,Southampton
218,0,2nd Class,Male,42.0,1,0,27.0,Southampton
219,1,1st Class,Female,32.0,0,0,76.2917,Cherbourg
220,0,2nd Class,Male,30.0,0,0,10.5,Southampton
221,1,3rd Class,Male,16.0,0,0,8.05,Southampton
222,0,2nd Class,Male,27.0,0,0,13.0,Southampton
223,0,3rd Class,Male,51.0,0,0,8.05,Southampton
224,0,3rd Class,Male,24.0,0,0,7.8958,Southampton
225,1,1st Class,Male,38.0,1,0,90.0,Southampton
226,0,3rd Class,Male,22.0,0,0,9.35,Southampton
227,1,2nd Class,Male,19.0,0,0,10.5,Southampton
228,0,3rd Class,Male,20.5,0,0,7.25,Southampton
229,0,2nd Class,Male,18.0,0,0,13.0,Southampton
230,0,3rd Class,Female,24.0,3,1,25.4667,Southampton
231,1,1st Class,Female,35.0,1,0,83.475,Southampton
232,0,3rd Class,Male,29.0,0,0,7.775,Southampton
233,0,2nd Class,Male,59.0,0,0,13.5,Southampton
234,1,3rd Class,Female,5.0,4,2,31.3875,Southampton
235,0,2nd Class,Male,24.0,0,0,10.5,Southampton
236,0,3rd Class,Female,24.0,0,0,7.55,Southampton
237,0,2nd Class,Male,44.0,1,0,26.0,Southampton
238,1,2nd Class,Female,8.0,0,2,26.25,Southampton
239,0,2nd Class,Male,19.0,0,0,10.5,Southampton
240,0,2nd Class,Male,33.0,0,0,12.275,Southampton
241,0,3rd Class,Female,24.0,1,0,14.4542,Cherbourg
242,1,3rd Class,Female,24.0,1,0,15.5,Queenstown
243,0,2nd Class,Male,29.0,0,0,10.5,Southampton
244,0,3rd Class,Male,22.0,0,0,7.125,Southampton
245,0,3rd Class,Male,30.0,0,0,7.225,Cherbourg
246,0,1st Class,Male,44.0,2,0,90.0,Queenstown
247,0,3rd Class,Female,25.0,0,0,7.775,Southampton
248,1,2nd Class,Female,24.0,0,2,14.5,Southampton
249,1,1st Class,Male,37.0,1,1,52.5542,Southampton
250,0,2nd Class,Male,54.0,1,0,26.0,Southampton
251,0,3rd Class,Male,24.0,0,0,7.25,Southampton
252,0,3rd Class,Female,29.0,1,1,10.4625,Southampton
253,0,1st Class,Male,62.0,0,0,26.55,Southampton
254,0,3rd Class,Male,30.0,1,0,16.1,Southampton
255,0,3rd Class,Female,41.0,0,2,20.2125,Southampton
256,1,3rd Class,Female,29.0,0,2,15.2458,Cherbourg
257,1,1st Class,Female,24.0,0,0,79.2,Cherbourg
258,1,1st Class,Female,30.0,0,0,86.5,Southampton
259,1,1st Class,Female,35.0,0,0,512.3292,Cherbourg
260,1,2nd Class,Female,50.0,0,1,26.0,Southampton
261,0,3rd Class,Male,24.0,0,0,7.75,Queenstown
262,1,3rd Class,Male,3.0,4,2,31.3875,Southampton
263,0,1st Class,Male,52.0,1,1,79.65,Southampton
264,0,1st Class,Male,40.0,0,0,0.0,Southampton
265,0,3rd Class,Female,24.0,0,0,7.75,Queenstown
266,0,2nd Class,Male,36.0,0,0,10.5,Southampton
267,0,3rd Class,Male,16.0,4,1,39.6875,Southampton
268,1,3rd Class,Male,25.0,1,0,7.775,Southampton
269,1,1st Class,Female,58.0,0,1,153.4625,Southampton
270,1,1st Class,Female,35.0,0,0,135.6333,Southampton
271,0,1st Class,Male,24.0,0,0,31.0,Southampton
272,1,3rd Class,Male,25.0,0,0,0.0,Southampton
273,1,2nd Class,Female,41.0,0,1,19.5,Southampton
274,0,1st Class,Male,37.0,0,1,29.7,Cherbourg
275,1,3rd Class,Female,24.0,0,0,7.75,Queenstown
276,1,1st Class,Female,63.0,1,0,77.9583,Southampton
277,0,3rd Class,Female,45.0,0,0,7.75,Southampton
278,0,2nd Class,Male,24.0,0,0,0.0,Southampton
279,0,3rd Class,Male,7.0,4,1,29.125,Queenstown
280,1,3rd Class,Female,35.0,1,1,20.25,Southampton
281,0,3rd Class,Male,65.0,0,0,7.75,Queenstown
282,0,3rd Class,Male,28.0,0,0,7.8542,Southampton
283,0,3rd Class,Male,16.0,0,0,9.5,Southampton
284,1,3rd Class,Male,19.0,0,0,8.05,Southampton
285,0,1st Class,Male,24.0,0,0,26.0,Southampton
286,0,3rd Class,Male,33.0,0,0,8.6625,Cherbourg
287,1,3rd Class,Male,30.0,0,0,9.5,Southampton
288,0,3rd Class,Male,22.0,0,0,7.8958,Southampton
289,1,2nd Class,Male,42.0,0,0,13.0,Southampton
290,1,3rd Class,Female,22.0,0,0,7.75,Queenstown
291,1,1st Class,Female,26.0,0,0,78.85,Southampton
292,1,1st Class,Female,19.0,1,0,91.0792,Cherbourg
293,0,2nd Class,Male,36.0,0,0,12.875,Cherbourg
294,0,3rd Class,Female,24.0,0,0,8.85,Southampton
295,0,3rd Class,Male,24.0,0,0,7.8958,Southampton
296,0,1st Class,Male,24.0,0,0,27.7208,Cherbourg
297,0,3rd Class,Male,23.5,0,0,7.2292,Cherbourg
